Text,Total Tokens
サッカー,4
野球,3
ラグビー,4
マラソン,5
バレーボール,5
バスケットボール,8
テニス,3
ゴルフ,4
フィットネス,6
水泳,3
スキー,3
ボード,3
ヨガ,4
登山,2
サーフィン,5
ランニング,3
自転車,7
フットサル,4
トライアスロン,7
ビリヤード,5
ボクシング,5
ボディビル,6
ダンス,3
スケートボード,7
カーリング,4
アーチェリー,6
エクササイズ,6
ピングポング,4
バドミントン,6
馬術,4
スノーボード,6
ボート,3
レース,2
ウィンドサーフィン,9
体操,3
クリケット,5
レスリング,4
ジム,2
ハンドボール,7
ハイキング,5
スクワッシュ,7
フェンシング,5
アイスホッケー,9
カヌー,4
ケイジャン,6
ポロ,2
リュージュ,4
ビーチバレー,6
クロスフィット,6
映画鑑賞,8
邦画,3
洋画,3
ドラマ好き,5
新作映画,5
映画祭,5
アニメ,3
ホラー映画,7
映画クラブ,6
映画史,5
映画監督,7
映画評論,8
コメディ映画,7
ドキュメンタリー映画,11
SF映画,4
アクション映画,8
ロマンス映画,7
ミュージカル映画,9
サイレント映画,7
映画音楽,6
映画館,6
映画チケット,7
映画祭,5
映画評価,6
映画撮影,6
映画製作,6
映画の一日,6
映画の夜,6
映画デート,5
映画の引用,6
映画の推奨,7
映画の名言,6
映画の予告編,9
映画賞,5
映画祭,5
映画レビュー,7
映画の日,5
映画プロデューサー,10
映画俳優,8
映画キャラクター,9
映画のロケ地,8
映画のシーン,7
映画コスチューム,9
映画メイク,6
映画のセット,6
映画の特殊効果,10
映画のポスター,8
映画のコレクション,10
映画の裏話,7
映画の予算,7
映画のエンディング,9
ポップ音楽,6
ロック,2
ジャズ,3
クラシック,4
ヒップホップ,8
R&B,2
レゲエ,4
フォーク,4
カントリー音楽,7
ブルース,3
エレクトロニック,7
ハウス,4
トランス,3
テクノ,4
インディーズ,5
ヘヴィメタル,8
パンク,3
ラップ,3
ソウル,4
オペラ,3
ワールドミュージック,9
アンビエント,5
ゴスペル,5
サウンドトラック,7
歌謡曲,7
アイドル,4
ボーカロイド,7
アカペラ,4
シンフォニー,6
コンサート,4
ライブ,3
音楽祭,5
バンド,3
オーケストラ,5
DJ,1
作曲,3
歌詞,4
ギター,4
ピアノ,4
ドラム,3
ベース,3
ヴァイオリン,8
トランペット,4
サックス,3
CD,1
レコード,3
音楽配信,5
ミュージックビデオ,8
音楽プロデューサー,10
音楽スタジオ,7
音楽教育,7
音楽理論,7
音楽史,5
音楽療法,6
音楽科学,5
AI,1
IoT,2
ビッグデータ,6
クラウド,4
仮想現実,8
拡張現実,8
ドローン,4
ロボット,4
3Dプリンティング,8
スマートホーム,7
ウェアラブル,6
スマートフォン,6
タブレット,4
PC,1
ゲーム機,7
カメラ,3
スマートウォッチ,8
ヘッドセット,6
スピーカー,5
ワイヤレス充電,11
VRゴーグル,6
プロジェクター,7
モニター,5
プリンター,5
キーボード,4
マウス,3
ハードディスク,7
USBメモリ,5
SDカード,3
ICレコーダー,6
電子書籍リーダー,11
スマートグラス,6
電子辞書,7
ポータブルゲーム機,12
電子ペーパー,7
デジタルサイネージ,9
デジタルフォトフレーム,11
モバイルバッテリー,10
GPSナビ,3
アクションカメラ,8
デジタルアート,6
デジタル教育,8
デジタル医療,8
電子取引,5
電子政府,6
デジタルエンターテイメント,11
デジタルライフ,7
電子スポーツ,7
デジタルマーケティング,10
デジタル著作権,11
選挙,4
投票,2
議会,3
国会,2
法律,3
条例,2
憲法,4
基本法,3
裁判所,5
判決,4
裁判官,6
検察官,7
弁護士,6
公安,2
警察,4
自衛隊,5
行政,2
市長,3
知事,2
国務大臣,6
首相,2
大統領,5
王室,4
外交,2
軍事,4
国境,3
経済政策,7
教育政策,7
健康政策,7
社会保障,5
公平性,3
人権,4
平等,2
自由,2
民主主義,5
共和主義,5
社会主義,5
資本主義,6
ナショナリズム,7
連邦主義,6
社会問題,5
貧困,4
失業,3
犯罪,5
汚職,4
健康格差,7
教育格差,7
人種差別,7
性別差別,7
移民問題,5
環境問題,8
気候変動,6
人口問題,5
海外旅行,5
国内旅行,5
バックパッカー,6
キャンプ,4
ハイキング,5
登山,2
釣り,3
サイクリング,5
ドライブ,4
鳥見,4
星空観察,6
スキー,3
スノーボード,6
サーフィング,5
ダイビング,4
パラグライダー,7
ラフティング,5
ハンググライダー,8
熱気球,5
ジェットスキー,6
ウェイクボード,7
ヨット,3
カヤック,4
カヌー,4
スノーシュー,7
スキューバダイビング,9
トレッキング,5
エコツーリズム,8
地質学ツアー,8
文化ツーリズム,8
野生動物観察,9
国立公園,5
自然公園,5
ビーチ,3
リゾート,4
温泉,4
ホテル,4
旅館,5
ユースホステル,8
エアビーアンドビー,9
ツアーガイド,7
観光名所,6
世界遺産,7
博物館,6
美術館,6
歴史的建造物,8
祭り,3
パスポート,4
飛行機,6
新幹線,6
旅行保険,6
料理,2
ホームクッキング,8
レシピ,3
イタリアン,5
フレンチ,4
日本料理,4
韓国料理,6
中国料理,3
タイ料理,4
ベーキング,5
デザート,4
朝食,4
昼食,4
夕食,4
スープ,3
サラダ,3
パスタ,3
ピザ,3
肉料理,4
魚料理,5
ベジタリアン,7
ビーガン,4
グルテンフリー,7
ダイエットレシピ,7
健康食,6
スローフード,5
ファーストフード,6
地元食材,6
有機野菜,8
フードトラック,5
料理教室,6
料理本,3
料理ブログ,4
料理チャンネル,8
食材買い物,8
スーパーマーケット,8
食品添加物,5
調理器具,5
包丁,3
フライパン,5
オーブン,4
レンジ,3
キッチン,4
料理道具,4
テーブルセッティング,9
食器,3
食事招待,6
パーティ料理,6
おつまみ,4
食事作り,5
手料理,3
家庭料理,5
グルメ料理,5
カフェメニュー,7
レストランメニュー,7
健康,4
ウェルネス,6
エクササイズ,6
ヨガ,4
メディテーション,8
ダイエット,4
栄養学,6
フィットネス,6
ジム,2
ウォーキング,6
ランニング,3
マラソン,5
サイクリング,5
プール,2
水泳,3
ダンス,3
ピラティス,5
筋トレ,4
筋力トレーニング,8
エアロビクス,6
スポーツクラブ,7
健康食,6
有機食品,7
デトックス,4
アロマセラピー,6
マッサージ,4
スパ,2
美容整形,4
自然療法,5
ホメオパシー,7
東洋医学,7
漢方,3
カイロプラクティック,9
整体,2
健康チェック,7
予防医学,7
メンタルヘルス,8
心の健康,6
ストレスマネージメント,8
睡眠,4
レスト,2
リラクゼーション,9
健康維持,8
健康促進,8
アート,2
美術,3
絵画,3
彫刻,4
版画,2
摄影,3
映像作品,5
インスタレーション,8
パフォーマンス,7
デザイン,4
グラフィックデザイン,9
産業デザイン,8
ファッションデザイン,10
インテリアデザイン,8
建築,3
建築デザイン,7
ランドスケープデザイン,11
タイポグラフィ,7
イラスト,3
イラストレーション,8
デジタルアート,6
CGI,2
アニメーション,7
VRアート,3
ARアート,3
美術館,6
アートギャラリー,8
アートフェア,5
アートショー,5
アーティスト,5
デザイナー,6
作家,2
作品,2
クリエイティブ,7
クリエイティビティ,9
インスピレーション,8
芸術教育,8
美術学校,6
デザイン学校,7
アートワーク,6
アートコレクション,8
アートコレクター,7
アート投資,5
芸術支援,7
アートプロジェクト,8
ファッション,6
スタイル,4
トレンド,4
カジュアル,5
フォーマル,5
ストリートファッション,9
ハイファッション,9
メンズファッション,9
レディースファッション,10
子供服,3
アクセサリー,6
シューズ,4
バッグ,3
帽子,3
眼鏡,5
時計,2
ジュエリー,5
メイク,3
スキンケア,6
ヘアスタイル,7
ネイルアート,6
美容院,3
エステ,3
フィットネス,6
ダイエット,4
ヘルスケア,7
美容製品,5
化粧品,4
香水,3
ファッションショー,9
ファッションウィーク,10
デザイナー,6
モデル,4
ファッションブログ,8
ファッションマガジン,11
コーディネート,7
スタイリスト,5
オートクチュール,6
プレタポルテ,6
ファッション撮影,9
ファッション広告,9
ファッションビジネス,11
ファッションマーケティング,12
ビジネス,5
経済,4
スタートアップ,6
起業,3
ベンチャー,6
イノベーション,9
テクノロジー,7
金融,4
投資,3
株式市場,5
経済指標,8
マーケティング,6
広告,3
PR,1
人事,2
組織開発,8
リーダーシップ,7
マネージメント,5
戦略,4
事業開発,6
製品開発,6
サービス開発,7
クラウドファンディング,10
ブロックチェーン,7
仮想通貨,7
リテール,3
不動産,4
製造業,5
物流,2
サプライチェーン,8
法律,3
知的財産,6
特許,3
M&A,2
コンサルティング,7
エンジェル投資家,9
ベンチャーキャピタル,11
プライベートエクイティ,11
投資銀行,7
株式公開,5
IPO,2
経済政策,7
中央銀行,7
教育,4
学習,4
学校,3
大学,2
高等教育,6
中等教育,6
初等教育,6
幼児教育,8
特別支援教育,10
キャリア教育,8
職業教育,8
スキルアップ,6
資格取得,5
自己啓発,7
教育政策,7
教育改革,7
テスト,2
試験,5
受験,5
入学試験,7
卒業試験,9
留学,3
交換留学,6
奨学金,4
教育費,6
学費,3
教育環境,9
教育格差,7
教育技術,7
教材,4
オンライン教育,8
遠隔教育,8
Eラーニング,5
MOOC,2
フリースクール,5
教育心理学,7
教育社会学,7
教師,4
講師,5
学生,2
勉強方法,5
ライフスタイル,7
生活,2
日常,2
家庭,3
家族,2
子育て,4
育児,4
ペット,2
犬,3
猫,3
手作り,3
DIY,2
ガーデニング,6
家事,2
掃除,3
料理,2
健康,4
エクササイズ,6
フィットネス,6
メンタルヘルス,8
趣味,4
旅行,3
アウトドア,5
インドア,3
読書,3
映画鑑賞,8
音楽鑑賞,8
アート,2
ファッション,6
ビューティー,6
ショッピング,5
グルメ,3
コーヒー,4
ティータイム,6
自然,2
リラクゼーション,9
スパ,2
マッサージ,4
サイエンス,5
科学,2
自然科学,4
社会科学,4
物理学,3
化学,2
生物学,3
地球科学,4
天文学,3
数学,2
情報科学,4
工学,2
医学,3
心理学,3
経済学,5
政治学,3
法学,2
教育学,5
歴史学,5
人類学,4
考古学,4
言語学,4
文化学,3
哲学,3
倫理学,4
環境学,6
気候学,4
エネルギー科学,9
ロボット科学,6
AI,1
データサイエンス,8
量子コンピュータ,8
宇宙開発,7
遺伝子編集,8
クリスパーキャス9,9
ナノテクノロジー,10
バイオテクノロジー,10
化石燃料,7
再生可能エネルギー,10
ブック,2
文学,2
小説,3
詩,2
エッセイ,4
伝記,3
自伝,3
ノンフィクション,9
歴史書,6
科学書,4
教育書,6
